query_id,target_id,pair_cosine_similarity,judge_helpfulness_score,query_class,query_team,target_class,target_team,global_target_lift_laplace,global_target_lift_accum,class_target_lift_laplace,class_target_lift_accum,source_file
R-28,R-156,0.386241,0.747345,other,(GI-SaaS) Salesforce,admin_rights,(BF) Information Security Office,0.133734,0.15,0.134605,0.15,test_results_api_20251130_123036.json
R-28,R-190,0.118724,0.688682,other,(GI-SaaS) Salesforce,admin_rights,(BF) Information Security Office,0.138772,0.149968,0.13869,0.149818,test_results_api_20251130_123036.json
R-29,R-250,0.612045,0.617149,other,(GI-IaaS) Admin - License & Asset Management,vpn_request,(GI-UX) Windows,0.13976,0.15,0.137067,0.149999,test_results_api_20251130_123036.json
R-31,R-217,0.274647,0.688589,other,(GI-IaaS) Development Platform,vpn_request,(GI-UX) Account Management,-0.025735,-0.046457,-0.021882,-0.039627,test_results_api_20251130_123036.json
R-34,R-183,0.20492,0.38483,other,(GI-SaaS) Salesforce,other,(GI-IaaS) Development Platform,-0.028132,-0.005915,-0.015557,-0.004155,test_results_api_20251130_123036.json
R-34,R-132,0.478123,0.383945,other,(GI-SaaS) Salesforce,other,(BF) Information Security Office,0.127648,0.15,0.128916,0.15,test_results_api_20251130_123036.json
R-35,R-30,0.089459,0.887996,other,(GI-IaaS) Admin - License & Asset Management,vpn_request,(GI-IaaS) Admin - License & Asset Management,0.134427,0.149802,0.135507,0.149215,test_results_api_20251130_123036.json
R-42,R-34,0.305607,0.708,other,(GI-UX) Application,other,(GI-SaaS) Salesforce,0.12955,0.149868,0.133995,0.149512,test_results_api_20251130_123036.json
R-43,R-108,0.232712,0.646723,admin_rights,(GI-UX) Group,software_request,(GI-CyberSec) Security Operation Center,-0.019921,-0.027088,0.010436,0.008094,test_results_api_20251130_123036.json
R-44,R-149,0.118203,1.0,vpn_request,(GI-UX) Network Access,admin_rights,(BF) Information Security Office,0.135917,0.149981,0.131634,0.139303,test_results_api_20251130_123036.json
R-44,R-44,1.0,0.465085,vpn_request,(GI-UX) Network Access,vpn_request,(GI-UX) Network Access,-0.052621,-0.034281,-0.032575,-0.006131,test_results_api_20251130_123036.json
R-45,R-128,0.291966,0.615615,other,(GI-UX) Group,vpn_request,(GI-UX) Account Management,0.012331,-0.002336,0.024739,0.00723,test_results_api_20251130_123036.json
R-45,R-226,0.273442,0.59888,other,(GI-UX) Group,admin_rights,(BF) Information Security Office,0.131185,0.149998,0.131698,0.14995,test_results_api_20251130_123036.json
R-45,R-127,0.196877,0.573976,other,(GI-UX) Group,other,(BF) Employee Platform (SAP SF),-0.016002,-0.009217,-4e-06,0.001693,test_results_api_20251130_123036.json
R-46,R-238,0.127105,0.431386,other,(GI-UX) Group,admin_rights,(GI-IaaS) Backend System Management (2nd level),-0.079898,-0.106792,-0.084238,-0.082957,test_results_api_20251130_123036.json
R-47,R-193,0.150252,0.271841,other,(GI-UX) Group,vpn_request,(GI-IaaS) Backend Application Srv. & Project Support,-0.046434,-0.025413,-0.046431,-0.016875,test_results_api_20251130_123036.json
R-47,R-57,0.507015,0.266075,other,(GI-UX) Group,other,(GI-SaaS) Salesforce,-0.067393,-0.057564,-0.062981,-0.0506,test_results_api_20251130_123036.json
R-49,R-72,0.204849,0.688832,other,(GI-IaaS) Backend Application Srv. & Project Support,vpn_request,(GI-IaaS) Development Platform,-0.031427,-0.00412,-0.028129,-7.2e-05,test_results_api_20251130_123036.json
R-50,R-234,0.185484,0.589313,vpn_request,(GI-UX) Network Access,admin_rights,(BF) Information Security Office,-0.005287,-0.005472,-0.00036,-0.000956,test_results_api_20251130_123036.json
R-50,R-205,0.095055,0.581648,vpn_request,(GI-UX) Network Access,admin_rights,(GI-UX) Group,0.136459,0.149695,0.138058,0.132843,test_results_api_20251130_123036.json
R-52,R-30,0.452434,0.933566,other,(GI-UX) Group,vpn_request,(GI-IaaS) Admin - License & Asset Management,0.134427,0.149802,0.135507,0.149215,test_results_api_20251130_123036.json
R-52,R-92,0.149047,0.531045,other,(GI-UX) Group,other,(GI-IaaS) Development Platform,-0.023419,-0.01207,-0.00906,-0.003542,test_results_api_20251130_123036.json
R-52,R-36,0.153601,0.487684,other,(GI-UX) Group,admin_rights,(BF) Information Security Office,-0.043557,-0.027238,-0.055841,-0.026841,test_results_api_20251130_123036.json
R-52,R-15,-0.011336,0.484609,other,(GI-UX) Group,vpn_request,(GI-UX) Group,-0.011996,-0.005099,-0.033501,-0.006118,test_results_api_20251130_123036.json
R-53,R-132,0.294864,0.732197,other,(GI-SaaS) Salesforce,other,(BF) Information Security Office,0.127648,0.15,0.128916,0.15,test_results_api_20251130_123036.json
R-54,R-14,0.3714,0.377568,other,(GI-UX) Network Access,other,(GI-SaaS) Salesforce,-0.033732,-0.034574,-0.042484,-0.038945,test_results_api_20251130_123036.json
R-55,R-88,0.164953,0.555827,other,(GI-UX) Group,other,(GI-IaaS) Development Platform,0.131304,0.149997,0.13249,0.149938,test_results_api_20251130_123036.json
R-56,R-159,0.412489,0.426136,other,(GI-IaaS) Admin - License & Asset Management,other,(GI-SaaS) Salesforce,-0.036257,-0.007327,-0.04639,-0.004893,test_results_api_20251130_123036.json
R-57,R-34,0.176649,0.558699,other,(GI-SaaS) Salesforce,other,(GI-SaaS) Salesforce,0.12955,0.149868,0.133995,0.149512,test_results_api_20251130_123036.json
R-59,R-206,0.356489,0.67135,other,(GI-IaaS) Admin - License & Asset Management,other,(BF) Purchasing Italy,0.1341,0.149982,0.132269,0.149815,test_results_api_20251130_123036.json
R-63,R-190,0.268249,0.744779,other,(GI-SaaS) Salesforce,admin_rights,(BF) Information Security Office,0.138772,0.149968,0.13869,0.149818,test_results_api_20251130_123036.json
R-63,R-156,0.920798,0.689491,other,(GI-SaaS) Salesforce,admin_rights,(BF) Information Security Office,0.133734,0.15,0.134605,0.15,test_results_api_20251130_123036.json
R-64,R-98,0.041269,0.462326,other,(GI-UX) Application,other,(GI-IaaS) Development Platform,-0.021084,-0.003956,0.001357,0.00261,test_results_api_20251130_123036.json
R-64,R-132,0.546373,0.446978,other,(GI-UX) Application,other,(BF) Information Security Office,0.127648,0.15,0.128916,0.15,test_results_api_20251130_123036.json
R-65,R-124,0.946877,0.50744,vpn_request,(GI-UX) Network Access,admin_rights,(BF) Information Security Office,-0.011141,-4.4e-05,-0.034135,-0.01252,test_results_api_20251130_123036.json
R-65,R-109,0.241723,0.479081,vpn_request,(GI-UX) Network Access,admin_rights,(BF) Information Security Office,-0.019341,-0.007063,0.007514,0.001439,test_results_api_20251130_123036.json
R-65,R-141,0.150874,0.473038,vpn_request,(GI-UX) Network Access,other,(GI-IaaS) Admin - License & Asset Management,-0.030899,-0.016667,-0.055165,-0.0088,test_results_api_20251130_123036.json
R-66,R-15,0.057004,0.557315,admin_rights,(BF) Information Security Office,vpn_request,(GI-UX) Group,-0.011996,-0.005099,0.011463,0.000392,test_results_api_20251130_123036.json
R-67,R-244,0.280485,0.690326,other,(GI-IaaS) Development Platform,admin_rights,(BF) Information Security Office,0.130477,0.15,0.131764,0.149992,test_results_api_20251130_123036.json
R-68,R-40,-0.025332,0.621448,admin_rights,(BF) Information Security Office,vpn_request,(GI-UX) Account Management,0.13503,0.149055,0.133047,0.037161,test_results_api_20251130_123036.json
R-68,R-189,0.048409,0.621039,admin_rights,(BF) Information Security Office,vpn_request,(GI-IaaS) Backend Application Srv. & Project Support,0.130754,0.149998,0.126262,0.108875,test_results_api_20251130_123036.json
R-69,R-175,0.423423,0.436217,other,(GI-UX) Group,other,(GI-IaaS) Admin - License & Asset Management,-0.076855,-0.139755,-0.078414,-0.125676,test_results_api_20251130_123036.json
R-71,R-56,0.208899,0.370519,other,(GI-UX) Windows,other,(GI-IaaS) Admin - License & Asset Management,-0.047814,-0.015844,-0.00318,0.009276,test_results_api_20251130_123036.json
R-71,R-26,0.163482,0.369951,other,(GI-UX) Windows,other,(GI-IaaS) Backend Application Srv. & Project Support,-0.052239,-0.016886,-0.054741,-0.015331,test_results_api_20251130_123036.json
R-79,R-170,0.213713,0.606234,other,(GI-IaaS) Development Platform,other,(GI-IaaS) Admin - License & Asset Management,0.120138,0.149963,0.116939,0.148892,test_results_api_20251130_123036.json
R-3,R-198,0.001157,0.456502,other,(GI-SaaS) Salesforce,vpn_request,(GI-UX) Group,-0.029034,-0.020851,-0.028914,-0.015655,test_results_api_20251130_132514.json
R-8,R-71,0.125269,1.0,other,(GI-UX) Account Management,other,(GI-UX) Windows,-0.039066,-0.082697,-0.01743,-0.025683,test_results_api_20251130_132514.json
R-10,R-88,0.260874,0.569286,other,(GI-UX) Group,other,(GI-IaaS) Development Platform,0.131304,0.149997,0.13249,0.149938,test_results_api_20251130_132514.json
R-12,R-175,0.897927,0.361857,other,(GI-UX) Network Access,other,(GI-IaaS) Admin - License & Asset Management,-0.076855,-0.139755,-0.078414,-0.125676,test_results_api_20251130_132514.json
R-14,R-126,0.429888,0.519578,other,(GI-SaaS) Salesforce,admin_rights,(GI-UX) Group,0.13176,0.15,0.132462,0.149992,test_results_api_20251130_132514.json
R-15,R-149,-0.00482,1.0,vpn_request,(GI-UX) Group,admin_rights,(BF) Information Security Office,0.135917,0.149981,0.131634,0.139303,test_results_api_20251130_132514.json
R-15,R-178,0.341896,0.667817,vpn_request,(GI-UX) Group,admin_rights,(LF) IT Office Access Italy,0.127868,0.149966,0.134109,0.148965,test_results_api_20251130_132514.json
R-15,R-205,0.065718,0.633654,vpn_request,(GI-UX) Group,admin_rights,(GI-UX) Group,0.136459,0.149695,0.138058,0.132843,test_results_api_20251130_132514.json
R-17,R-30,-0.025552,0.727723,other,(GI-UX) Group,vpn_request,(GI-IaaS) Admin - License & Asset Management,0.134427,0.149802,0.135507,0.149215,test_results_api_20251130_132514.json
R-19,R-226,0.158901,0.646973,other,(GI-IaaS) Backend Application Srv. & Project Support,admin_rights,(BF) Information Security Office,0.131185,0.149998,0.131698,0.14995,test_results_api_20251130_132514.json
R-21,R-220,0.079126,0.423535,other,(GI-IaaS) Development Platform,admin_rights,(GI-IaaS) Admin - License & Asset Management,-0.073139,-0.08095,-0.065691,-0.044299,test_results_api_20251130_132514.json
R-26,R-128,0.196184,0.568078,other,(GI-IaaS) Backend Application Srv. & Project Support,vpn_request,(GI-UX) Account Management,0.012331,-0.002336,0.024739,0.00723,test_results_api_20251130_132514.json
R-27,R-206,0.122836,0.544571,other,(BF) Information Security Office,other,(BF) Purchasing Italy,0.1341,0.149982,0.132269,0.149815,test_results_api_20251130_132514.json
R-28,R-156,0.386241,0.747345,other,(GI-SaaS) Salesforce,admin_rights,(BF) Information Security Office,0.133734,0.15,0.134605,0.15,test_results_api_20251130_132514.json
R-28,R-190,0.118724,0.688682,other,(GI-SaaS) Salesforce,admin_rights,(BF) Information Security Office,0.138772,0.149968,0.13869,0.149818,test_results_api_20251130_132514.json
R-29,R-250,0.612045,0.617149,other,(GI-IaaS) Admin - License & Asset Management,vpn_request,(GI-UX) Windows,0.13976,0.15,0.137067,0.149999,test_results_api_20251130_132514.json
R-31,R-217,0.274647,0.688589,other,(GI-IaaS) Development Platform,vpn_request,(GI-UX) Account Management,-0.025735,-0.046457,-0.021882,-0.039627,test_results_api_20251130_132514.json
R-34,R-183,0.20492,0.38483,other,(GI-SaaS) Salesforce,other,(GI-IaaS) Development Platform,-0.028132,-0.005915,-0.015557,-0.004155,test_results_api_20251130_132514.json
R-34,R-132,0.478123,0.383945,other,(GI-SaaS) Salesforce,other,(BF) Information Security Office,0.127648,0.15,0.128916,0.15,test_results_api_20251130_132514.json
R-35,R-30,0.089459,1.0,other,(GI-IaaS) Admin - License & Asset Management,vpn_request,(GI-IaaS) Admin - License & Asset Management,0.134427,0.149802,0.135507,0.149215,test_results_api_20251130_132514.json
R-42,R-34,0.305607,0.708,other,(GI-UX) Application,other,(GI-SaaS) Salesforce,0.12955,0.149868,0.133995,0.149512,test_results_api_20251130_132514.json
R-43,R-108,0.232712,0.646723,admin_rights,(GI-UX) Group,software_request,(GI-CyberSec) Security Operation Center,-0.019921,-0.027088,0.010436,0.008094,test_results_api_20251130_132514.json
R-44,R-149,0.118203,1.0,vpn_request,(GI-UX) Network Access,admin_rights,(BF) Information Security Office,0.135917,0.149981,0.131634,0.139303,test_results_api_20251130_132514.json
R-44,R-44,1.0,0.465085,vpn_request,(GI-UX) Network Access,vpn_request,(GI-UX) Network Access,-0.052621,-0.034281,-0.032575,-0.006131,test_results_api_20251130_132514.json
R-45,R-128,0.291966,0.615615,other,(GI-UX) Group,vpn_request,(GI-UX) Account Management,0.012331,-0.002336,0.024739,0.00723,test_results_api_20251130_132514.json
R-45,R-226,0.273442,0.59888,other,(GI-UX) Group,admin_rights,(BF) Information Security Office,0.131185,0.149998,0.131698,0.14995,test_results_api_20251130_132514.json
R-45,R-127,0.196877,0.573976,other,(GI-UX) Group,other,(BF) Employee Platform (SAP SF),-0.016002,-0.009217,-4e-06,0.001693,test_results_api_20251130_132514.json
R-46,R-238,0.127105,0.431386,other,(GI-UX) Group,admin_rights,(GI-IaaS) Backend System Management (2nd level),-0.079898,-0.106792,-0.084238,-0.082957,test_results_api_20251130_132514.json
R-47,R-193,0.150252,0.271841,other,(GI-UX) Group,vpn_request,(GI-IaaS) Backend Application Srv. & Project Support,-0.046434,-0.025413,-0.046431,-0.016875,test_results_api_20251130_132514.json
R-47,R-57,0.507015,0.266075,other,(GI-UX) Group,other,(GI-SaaS) Salesforce,-0.067393,-0.057564,-0.062981,-0.0506,test_results_api_20251130_132514.json
R-49,R-72,0.204849,0.688832,other,(GI-IaaS) Backend Application Srv. & Project Support,vpn_request,(GI-IaaS) Development Platform,-0.031427,-0.00412,-0.028129,-7.2e-05,test_results_api_20251130_132514.json
R-50,R-234,0.185484,0.589313,vpn_request,(GI-UX) Network Access,admin_rights,(BF) Information Security Office,-0.005287,-0.005472,-0.00036,-0.000956,test_results_api_20251130_132514.json
R-50,R-205,0.095055,0.581648,vpn_request,(GI-UX) Network Access,admin_rights,(GI-UX) Group,0.136459,0.149695,0.138058,0.132843,test_results_api_20251130_132514.json
R-52,R-30,0.452434,1.0,other,(GI-UX) Group,vpn_request,(GI-IaaS) Admin - License & Asset Management,0.134427,0.149802,0.135507,0.149215,test_results_api_20251130_132514.json
R-52,R-92,0.149047,0.531045,other,(GI-UX) Group,other,(GI-IaaS) Development Platform,-0.023419,-0.01207,-0.00906,-0.003542,test_results_api_20251130_132514.json
R-52,R-36,0.153601,0.487684,other,(GI-UX) Group,admin_rights,(BF) Information Security Office,-0.043557,-0.027238,-0.055841,-0.026841,test_results_api_20251130_132514.json
R-52,R-15,-0.011336,0.484609,other,(GI-UX) Group,vpn_request,(GI-UX) Group,-0.011996,-0.005099,-0.033501,-0.006118,test_results_api_20251130_132514.json
R-53,R-132,0.294864,0.732197,other,(GI-SaaS) Salesforce,other,(BF) Information Security Office,0.127648,0.15,0.128916,0.15,test_results_api_20251130_132514.json
R-54,R-14,0.3714,0.377568,other,(GI-UX) Network Access,other,(GI-SaaS) Salesforce,-0.033732,-0.034574,-0.042484,-0.038945,test_results_api_20251130_132514.json
R-55,R-88,0.164953,0.555827,other,(GI-UX) Group,other,(GI-IaaS) Development Platform,0.131304,0.149997,0.13249,0.149938,test_results_api_20251130_132514.json
R-56,R-159,0.412489,0.426136,other,(GI-IaaS) Admin - License & Asset Management,other,(GI-SaaS) Salesforce,-0.036257,-0.007327,-0.04639,-0.004893,test_results_api_20251130_132514.json
R-57,R-34,0.176649,0.558699,other,(GI-SaaS) Salesforce,other,(GI-SaaS) Salesforce,0.12955,0.149868,0.133995,0.149512,test_results_api_20251130_132514.json
R-59,R-206,0.356489,0.67135,other,(GI-IaaS) Admin - License & Asset Management,other,(BF) Purchasing Italy,0.1341,0.149982,0.132269,0.149815,test_results_api_20251130_132514.json
R-63,R-190,0.268249,0.744779,other,(GI-SaaS) Salesforce,admin_rights,(BF) Information Security Office,0.138772,0.149968,0.13869,0.149818,test_results_api_20251130_132514.json
R-63,R-156,0.920798,0.689491,other,(GI-SaaS) Salesforce,admin_rights,(BF) Information Security Office,0.133734,0.15,0.134605,0.15,test_results_api_20251130_132514.json
R-64,R-98,0.041269,0.462326,other,(GI-UX) Application,other,(GI-IaaS) Development Platform,-0.021084,-0.003956,0.001357,0.00261,test_results_api_20251130_132514.json
R-64,R-132,0.546373,0.446978,other,(GI-UX) Application,other,(BF) Information Security Office,0.127648,0.15,0.128916,0.15,test_results_api_20251130_132514.json
R-65,R-124,0.946877,0.50744,vpn_request,(GI-UX) Network Access,admin_rights,(BF) Information Security Office,-0.011141,-4.4e-05,-0.034135,-0.01252,test_results_api_20251130_132514.json
R-65,R-109,0.241723,0.479081,vpn_request,(GI-UX) Network Access,admin_rights,(BF) Information Security Office,-0.019341,-0.007063,0.007514,0.001439,test_results_api_20251130_132514.json
R-65,R-141,0.150874,0.473038,vpn_request,(GI-UX) Network Access,other,(GI-IaaS) Admin - License & Asset Management,-0.030899,-0.016667,-0.055165,-0.0088,test_results_api_20251130_132514.json
R-66,R-15,0.057004,0.557315,admin_rights,(BF) Information Security Office,vpn_request,(GI-UX) Group,-0.011996,-0.005099,0.011463,0.000392,test_results_api_20251130_132514.json
R-67,R-244,0.280485,0.690326,other,(GI-IaaS) Development Platform,admin_rights,(BF) Information Security Office,0.130477,0.15,0.131764,0.149992,test_results_api_20251130_132514.json
R-68,R-40,-0.025332,0.621448,admin_rights,(BF) Information Security Office,vpn_request,(GI-UX) Account Management,0.13503,0.149055,0.133047,0.037161,test_results_api_20251130_132514.json
R-68,R-189,0.048409,0.621039,admin_rights,(BF) Information Security Office,vpn_request,(GI-IaaS) Backend Application Srv. & Project Support,0.130754,0.149998,0.126262,0.108875,test_results_api_20251130_132514.json
R-69,R-175,0.423423,0.436217,other,(GI-UX) Group,other,(GI-IaaS) Admin - License & Asset Management,-0.076855,-0.139755,-0.078414,-0.125676,test_results_api_20251130_132514.json
R-71,R-56,0.208899,0.370519,other,(GI-UX) Windows,other,(GI-IaaS) Admin - License & Asset Management,-0.047814,-0.015844,-0.00318,0.009276,test_results_api_20251130_132514.json
R-71,R-26,0.163482,0.369951,other,(GI-UX) Windows,other,(GI-IaaS) Backend Application Srv. & Project Support,-0.052239,-0.016886,-0.054741,-0.015331,test_results_api_20251130_132514.json
R-79,R-170,0.213713,0.606234,other,(GI-IaaS) Development Platform,other,(GI-IaaS) Admin - License & Asset Management,0.120138,0.149963,0.116939,0.148892,test_results_api_20251130_132514.json
R-3,R-198,0.001157,0.456502,other,(GI-SaaS) Salesforce,vpn_request,(GI-UX) Group,-0.029034,-0.020851,-0.028914,-0.015655,test_results_api_20251201_173307.json
R-8,R-71,0.125269,0.700493,other,(GI-UX) Account Management,other,(GI-UX) Windows,-0.039066,-0.082697,-0.01743,-0.025683,test_results_api_20251201_173307.json
R-10,R-88,0.260874,0.569286,other,(GI-UX) Group,other,(GI-IaaS) Development Platform,0.131304,0.149997,0.13249,0.149938,test_results_api_20251201_173307.json
R-12,R-175,0.897927,0.361857,other,(GI-UX) Network Access,other,(GI-IaaS) Admin - License & Asset Management,-0.076855,-0.139755,-0.078414,-0.125676,test_results_api_20251201_173307.json
R-14,R-126,0.429888,0.519578,other,(GI-SaaS) Salesforce,admin_rights,(GI-UX) Group,0.13176,0.15,0.132462,0.149992,test_results_api_20251201_173307.json
R-15,R-178,0.341896,0.667817,vpn_request,(GI-UX) Group,admin_rights,(LF) IT Office Access Italy,0.127868,0.149966,0.134109,0.148965,test_results_api_20251201_173307.json
R-15,R-149,-0.00482,0.642707,vpn_request,(GI-UX) Group,admin_rights,(BF) Information Security Office,0.135917,0.149981,0.131634,0.139303,test_results_api_20251201_173307.json
R-15,R-205,0.065718,0.633654,vpn_request,(GI-UX) Group,admin_rights,(GI-UX) Group,0.136459,0.149695,0.138058,0.132843,test_results_api_20251201_173307.json
R-17,R-30,-0.025552,0.727723,other,(GI-UX) Group,vpn_request,(GI-IaaS) Admin - License & Asset Management,0.134427,0.149802,0.135507,0.149215,test_results_api_20251201_173307.json
R-19,R-226,0.158901,0.646973,other,(GI-IaaS) Backend Application Srv. & Project Support,admin_rights,(BF) Information Security Office,0.131185,0.149998,0.131698,0.14995,test_results_api_20251201_173307.json
R-21,R-220,0.079126,0.423535,other,(GI-IaaS) Development Platform,admin_rights,(GI-IaaS) Admin - License & Asset Management,-0.073139,-0.08095,-0.065691,-0.044299,test_results_api_20251201_173307.json
R-26,R-128,0.196184,0.568078,other,(GI-IaaS) Backend Application Srv. & Project Support,vpn_request,(GI-UX) Account Management,0.012331,-0.002336,0.024739,0.00723,test_results_api_20251201_173307.json
R-27,R-206,0.122836,0.544571,other,(BF) Information Security Office,other,(BF) Purchasing Italy,0.1341,0.149982,0.132269,0.149815,test_results_api_20251201_173307.json
R-28,R-156,0.386241,0.747345,other,(GI-SaaS) Salesforce,admin_rights,(BF) Information Security Office,0.133734,0.15,0.134605,0.15,test_results_api_20251201_173307.json
R-28,R-190,0.118724,0.688682,other,(GI-SaaS) Salesforce,admin_rights,(BF) Information Security Office,0.138772,0.149968,0.13869,0.149818,test_results_api_20251201_173307.json
R-29,R-250,0.612045,0.617149,other,(GI-IaaS) Admin - License & Asset Management,vpn_request,(GI-UX) Windows,0.13976,0.15,0.137067,0.149999,test_results_api_20251201_173307.json
R-31,R-217,0.274647,0.688589,other,(GI-IaaS) Development Platform,vpn_request,(GI-UX) Account Management,-0.025735,-0.046457,-0.021882,-0.039627,test_results_api_20251201_173307.json
R-34,R-183,0.20492,0.38483,other,(GI-SaaS) Salesforce,other,(GI-IaaS) Development Platform,-0.028132,-0.005915,-0.015557,-0.004155,test_results_api_20251201_173307.json
R-34,R-132,0.478123,0.383945,other,(GI-SaaS) Salesforce,other,(BF) Information Security Office,0.127648,0.15,0.128916,0.15,test_results_api_20251201_173307.json
R-35,R-30,0.089459,1.0,other,(GI-IaaS) Admin - License & Asset Management,vpn_request,(GI-IaaS) Admin - License & Asset Management,0.134427,0.149802,0.135507,0.149215,test_results_api_20251201_173307.json
R-42,R-34,0.305607,0.708,other,(GI-UX) Application,other,(GI-SaaS) Salesforce,0.12955,0.149868,0.133995,0.149512,test_results_api_20251201_173307.json
R-43,R-108,0.232712,0.646723,admin_rights,(GI-UX) Group,software_request,(GI-CyberSec) Security Operation Center,-0.019921,-0.027088,0.010436,0.008094,test_results_api_20251201_173307.json
R-44,R-149,0.118203,0.510656,vpn_request,(GI-UX) Network Access,admin_rights,(BF) Information Security Office,0.135917,0.149981,0.131634,0.139303,test_results_api_20251201_173307.json
R-44,R-44,1.0,0.465085,vpn_request,(GI-UX) Network Access,vpn_request,(GI-UX) Network Access,-0.052621,-0.034281,-0.032575,-0.006131,test_results_api_20251201_173307.json
R-45,R-128,0.291966,0.615615,other,(GI-UX) Group,vpn_request,(GI-UX) Account Management,0.012331,-0.002336,0.024739,0.00723,test_results_api_20251201_173307.json
R-45,R-226,0.273442,0.59888,other,(GI-UX) Group,admin_rights,(BF) Information Security Office,0.131185,0.149998,0.131698,0.14995,test_results_api_20251201_173307.json
R-45,R-127,0.196877,0.573976,other,(GI-UX) Group,other,(BF) Employee Platform (SAP SF),-0.016002,-0.009217,-4e-06,0.001693,test_results_api_20251201_173307.json
R-46,R-238,0.127105,0.431386,other,(GI-UX) Group,admin_rights,(GI-IaaS) Backend System Management (2nd level),-0.079898,-0.106792,-0.084238,-0.082957,test_results_api_20251201_173307.json
R-47,R-193,0.150252,0.271841,other,(GI-UX) Group,vpn_request,(GI-IaaS) Backend Application Srv. & Project Support,-0.046434,-0.025413,-0.046431,-0.016875,test_results_api_20251201_173307.json
R-47,R-57,0.507015,0.266075,other,(GI-UX) Group,other,(GI-SaaS) Salesforce,-0.067393,-0.057564,-0.062981,-0.0506,test_results_api_20251201_173307.json
R-49,R-72,0.204849,0.688832,other,(GI-IaaS) Backend Application Srv. & Project Support,vpn_request,(GI-IaaS) Development Platform,-0.031427,-0.00412,-0.028129,-7.2e-05,test_results_api_20251201_173307.json
R-50,R-234,0.185484,0.589313,vpn_request,(GI-UX) Network Access,admin_rights,(BF) Information Security Office,-0.005287,-0.005472,-0.00036,-0.000956,test_results_api_20251201_173307.json
R-50,R-205,0.095055,0.581648,vpn_request,(GI-UX) Network Access,admin_rights,(GI-UX) Group,0.136459,0.149695,0.138058,0.132843,test_results_api_20251201_173307.json
R-52,R-30,0.452434,1.0,other,(GI-UX) Group,vpn_request,(GI-IaaS) Admin - License & Asset Management,0.134427,0.149802,0.135507,0.149215,test_results_api_20251201_173307.json
R-52,R-92,0.149047,0.531045,other,(GI-UX) Group,other,(GI-IaaS) Development Platform,-0.023419,-0.01207,-0.00906,-0.003542,test_results_api_20251201_173307.json
R-52,R-36,0.153601,0.487684,other,(GI-UX) Group,admin_rights,(BF) Information Security Office,-0.043557,-0.027238,-0.055841,-0.026841,test_results_api_20251201_173307.json
R-52,R-15,-0.011336,0.484609,other,(GI-UX) Group,vpn_request,(GI-UX) Group,-0.011996,-0.005099,-0.033501,-0.006118,test_results_api_20251201_173307.json
R-53,R-132,0.294864,0.732197,other,(GI-SaaS) Salesforce,other,(BF) Information Security Office,0.127648,0.15,0.128916,0.15,test_results_api_20251201_173307.json
